timestamp,round,loss,accuracy,data_samples
2025-04-24T12:42:46.109232,8,0.050085139621568076,0.44823284823284826,2405
2025-04-24T12:42:46.112232,1,0.050085139621568076,0.44823284823284826,2405
2025-04-24T12:43:22.830157,9,0.036796873151140747,0.5875259875259875,2405
2025-04-24T12:43:22.853763,2,0.036796873151140747,0.5875259875259875,2405
2025-04-24T12:43:54.367967,3,0.04395044697545422,0.5168399168399168,2405
2025-04-24T12:43:54.531005,10,0.04395044697545422,0.5168399168399168,2405
2025-04-24T12:44:24.720905,4,0.043398487667036155,0.5272349272349273,2405
2025-04-24T12:44:24.868990,11,0.043398487667036155,0.5272349272349273,2405
2025-04-24T12:44:56.369915,5,0.042550291638364414,0.5355509355509356,2405
2025-04-24T12:44:56.404189,12,0.042550291638364414,0.5355509355509356,2405
2025-04-24T12:45:24.940979,6,0.03392634151383398,0.6253638253638254,2405
2025-04-24T12:45:25.023263,13,0.03392634151383398,0.6253638253638254,2405
2025-04-24T12:46:00.543289,7,0.03869347852381748,0.5775467775467775,2405
2025-04-24T12:46:00.597706,14,0.03869347852381748,0.5775467775467775,2405
2025-04-24T12:46:32.283980,8,0.03688024944178528,0.5958419958419958,2405
2025-04-24T12:46:32.467501,15,0.03688024944178528,0.5958419958419958,2405
2025-04-24T12:47:04.507356,9,0.03616715766288139,0.60997920997921,2405
2025-04-24T12:47:04.530873,16,0.03616715766288139,0.60997920997921,2405
2025-04-24T12:47:34.790548,10,0.03695649637254013,0.585031185031185,2405
2025-04-24T12:47:34.850624,17,0.03695649637254013,0.585031185031185,2405
2025-04-24T12:48:05.506481,11,0.035361972568932296,0.6124740124740125,2405
2025-04-24T12:48:05.529186,18,0.035361972568932296,0.6124740124740125,2405
2025-04-24T12:48:37.033704,12,0.07116220225415458,0.33014553014553016,2405
2025-04-24T12:48:37.084464,19,0.07116220225415458,0.33014553014553016,2405
